model,trades,mean_R,median_R,std_R,min_R,max_R,median_MFE_R,mean_MFE_R,median_MAE_R,mean_MAE_R,median_hold_bars,mfe_mae_abs_ratio
A_Breakout,162,0.2808641975308177,1.4999999999984013,1.253493699023878,-1.0000000000027758,1.50000000000111,1.5332912466219526,1.2658260287426264,-0.9411975145918202,-0.9185459400945788,2.0,1.3780759061569523
B_Break_Retest,158,0.26582278481012067,1.4999999999988987,1.2538741061714713,-1.0000000000020453,1.5000000000031315,1.5065343258894905,1.2349937760275311,-0.9862887319458287,-0.9099997132290037,2.0,1.3571364452911006
C_Fibonacci_Rejection,136,-0.08088235294122004,-0.9999999999996934,1.209867743361651,-1.0000000000013878,1.5000000000015492,0.9807626245273363,1.1097597514680064,-1.1201472073895813,-1.0133682820861651,2.0,1.0951198799940782
D_M1_Structure_Break,162,0.3117283950617016,1.4999999999989286,1.2523461610668774,-1.0000000000022204,1.5000000000016038,1.5371773675018123,1.3269551954603136,-0.9390593047023645,-0.8727526089789327,2.0,1.5204253551447646
E_Momentum_Continuation,162,0.3117283950617054,1.4999999999987714,1.2523461610669486,-1.0000000000021292,1.5000000000015492,1.5367567955247436,1.391604894784235,-0.8615409790081481,-0.896346240787009,2.0,1.5525305194144392
