model,direction,trades,win_rate_pct,mean_R,median_R,mean_MFE_R,median_MFE_R,mean_MAE_R,median_MAE_R
A_Breakout,DOWN,87,52.87356321839081,0.32183908045971127,1.499999999998755,1.2909248826585487,1.5392670157059714,-0.8211901920593067,-0.7480916030538879
A_Breakout,UP,75,49.333333333333336,0.23333333333330122,-0.9999999999977796,1.236711358200157,1.514925373134839,-1.0314786078154943,-1.0000000000028548
B_Break_Retest,DOWN,85,52.94117647058824,0.32352941176472366,1.4999999999992313,1.2442527341762886,1.533333333332861,-0.8833022077831667,-0.8750000000000001
B_Break_Retest,UP,73,47.94520547945205,0.19863013698626783,-0.9999999999988466,1.2242127973611698,1.4651162790687589,-0.9410858497070329,-0.9999999999999007
C_Fibonacci_Rejection,DOWN,69,37.68115942028986,-0.05797101449278197,-0.9999999999995044,1.1456531862809083,0.975609756097327,-0.9537134872520419,-1.1219512195129009
C_Fibonacci_Rejection,UP,67,35.82089552238806,-0.1044776119403577,-0.9999999999997152,1.0727948708397939,0.9859154929573456,-1.0748038170645908,-1.11656441717995
D_M1_Structure_Break,DOWN,87,52.87356321839081,0.32183908045980925,1.4999999999989286,1.3760543066467956,1.541284403670104,-0.8171217132310602,-0.9333333333308462
D_M1_Structure_Break,UP,75,52.0,0.2999999999998967,1.4999999999990414,1.270000226483995,1.5342465753416197,-0.9372844480464644,-0.944785276073883
E_Momentum_Continuation,DOWN,87,58.620689655172406,0.4655172413793599,1.4999999999994256,1.524915211217477,1.6548463356978826,-0.783275268436655,-0.6746987951795271
E_Momentum_Continuation,UP,75,45.33333333333333,0.13333333333322628,-0.9999999999993656,1.2369649277216745,1.3502538071062622,-1.0275085687134196,-1.1155378486054497
