model,threshold_R,trades_reaching,pct_reaching,trades_reaching_before_stop,pct_reaching_before_stop
A_Breakout,0.5,115,70.98765432098766,84,51.85185185185185
A_Breakout,1.0,96,59.25925925925925,84,51.85185185185185
A_Breakout,1.5,85,52.46913580246913,83,51.23456790123457
A_Breakout,2.0,33,20.37037037037037,32,19.753086419753085
B_Break_Retest,0.5,112,70.88607594936708,81,51.26582278481012
B_Break_Retest,1.0,95,60.12658227848101,81,51.26582278481012
B_Break_Retest,1.5,81,51.26582278481012,80,50.63291139240506
B_Break_Retest,2.0,26,16.455696202531644,25,15.822784810126583
C_Fibonacci_Rejection,0.5,85,62.5,51,37.5
C_Fibonacci_Rejection,1.0,67,49.26470588235294,50,36.76470588235294
C_Fibonacci_Rejection,1.5,50,36.76470588235294,50,36.76470588235294
C_Fibonacci_Rejection,2.0,22,16.176470588235293,22,16.176470588235293
D_M1_Structure_Break,0.5,122,75.30864197530865,85,52.46913580246913
D_M1_Structure_Break,1.0,99,61.111111111111114,85,52.46913580246913
D_M1_Structure_Break,1.5,87,53.70370370370371,85,52.46913580246913
D_M1_Structure_Break,2.0,31,19.1358024691358,30,18.51851851851852
E_Momentum_Continuation,0.5,128,79.01234567901234,85,52.46913580246913
E_Momentum_Continuation,1.0,102,62.96296296296296,85,52.46913580246913
E_Momentum_Continuation,1.5,86,53.086419753086425,85,52.46913580246913
E_Momentum_Continuation,2.0,41,25.308641975308642,40,24.691358024691358
