reversal_fib_bucket,count,pct
0-23.6,6,0.00821917808219178
23.6-38.2,62,0.08493150684931507
38.2-50,63,0.0863013698630137
50-61.8,69,0.09452054794520548
61.8-78.6,77,0.10547945205479452
78.6-100,78,0.10684931506849316
100-127.2,108,0.14794520547945206
127.2-161.8,97,0.13287671232876713
161.8-200,59,0.08082191780821918
200-261.8,49,0.06712328767123288
261.8-361.8,30,0.0410958904109589
361.8-423.6,12,0.01643835616438356
>=423.6,20,0.0273972602739726
