fib_zone,count,pct
100.0-127.2,108,0.14794520547945206
127.2-161.8,97,0.13287671232876713
78.6-100.0,78,0.10684931506849316
61.8-78.6,77,0.10547945205479452
50.0-61.8,69,0.09452054794520548
38.2-50.0,63,0.0863013698630137
23.6-38.2,62,0.08493150684931507
161.8-200.0,59,0.08082191780821918
200.0-261.8,49,0.06712328767123288
261.8-361.8,30,0.0410958904109589
>=423.6,20,0.0273972602739726
361.8-423.6,12,0.01643835616438356
0.0-23.6,6,0.00821917808219178
