model,event,trades,wins,losses,timeouts,win_rate_pct,avg_R,median_R,std_R,expectancy_R,profit_factor,total_R,max_drawdown_R,median_MFE_R,median_MAE_R,mean_MFE_R,mean_MAE_R,median_hold_bars
A_Breakout,breakout_A,162,83,79,0,51.23456790123457,0.2808641975308178,1.4999999999984013,1.253493699023878,0.2808641975308178,1.5759493670885476,45.49999999999248,-7.999999999997783,1.5332912466219524,-0.9411975145918203,1.2658260287426262,-0.9185459400945786,2.0
B_Break_Retest,break_retest_B,158,80,78,0,50.63291139240506,0.26582278481012067,1.4999999999988987,1.2538741061714713,0.26582278481012067,1.5384615384615064,41.99999999999906,-7.000000000000149,1.5065343258894905,-0.9862887319458286,1.2349937760275311,-0.9099997132290037,2.0
C_Fibonacci_Rejection,fib_rejection_C,136,50,86,0,36.76470588235294,-0.08088235294122002,-0.9999999999996935,1.209867743361651,-0.08088235294122002,0.8720930232557509,-11.000000000005922,-17.00000000000603,0.9807626245273364,-1.1201472073895813,1.1097597514680064,-1.0133682820861651,2.0
D_M1_Structure_Break,m1_structure_break_D,162,85,77,0,52.46913580246913,0.3117283950617016,1.4999999999989286,1.2523461610668774,0.3117283950617016,1.6558441558441035,50.49999999999565,-15.500000000003482,1.5371773675018123,-0.9390593047023645,1.326955195460314,-0.8727526089789327,2.0
E_Momentum_Continuation,momentum_E,162,85,77,0,52.46913580246913,0.31172839506170547,1.4999999999987714,1.2523461610669486,0.31172839506170547,1.6558441558440649,50.499999999996284,-5.000000000000071,1.5367567955247436,-0.8615409790081481,1.391604894784235,-0.896346240787009,2.0
