month,scope,count,swing_pips_mean,swing_pips_median,swing_pips_std,swing_pips_p25,swing_pips_p75,swing_pips_min,swing_pips_max,prior_swing_pips_mean,prior_swing_pips_median,prior_swing_pips_std,prior_swing_pips_p25,prior_swing_pips_p75,prior_swing_pips_min,prior_swing_pips_max,bars_mean,bars_median,bars_std,bars_p25,bars_p75,bars_min,bars_max,prior_bars_mean,prior_bars_median,prior_bars_std,prior_bars_p25,prior_bars_p75,prior_bars_min,prior_bars_max,reversal_pct_mean,reversal_pct_median,reversal_pct_std,reversal_pct_p25,reversal_pct_p75,reversal_pct_min,reversal_pct_max,current_end_retracement_pct_mean,current_end_retracement_pct_median,current_end_retracement_pct_std,current_end_retracement_pct_p25,current_end_retracement_pct_p75,current_end_retracement_pct_min,current_end_retracement_pct_max,confidence_mean,confidence_median,confidence_std,confidence_p25,confidence_p75,confidence_min,confidence_max
2025-09,month,7,65.15714285714276,58.400000000000674,33.85084229099035,45.95000000000016,82.69999999999999,19.29999999999988,121.09999999999845,30.728571428570994,25.69999999999961,18.57118864313888,18.24999999999966,35.650000000000404,15.299999999998091,66.29999999999913,676.0,572.0,523.2857727857695,278.0,1032.0,50,1490,376.42857142857144,198.0,417.35710414578114,129.5,406.5,103.0,1262.0,261.43774243406386,182.49027237354684,209.30982507485024,133.7355455002605,288.12739785626434,99.77827050997638,704.0697674418743,261.43774243406386,182.49027237354684,209.30982507485024,133.7355455002605,288.12739785626434,99.77827050997638,704.0697674418743,0.7857142857142857,1.0,0.36596252735569995,0.75,1.0,0.0,1.0
2025-10,month,16,47.96249999999974,43.699999999999854,22.20807285650891,35.29999999999922,55.850000000000065,20.700000000000163,102.99999999999976,31.412499999999703,29.649999999999956,14.434674687478731,17.79999999999893,39.799999999998725,14.600000000000168,63.10000000000038,689.375,637.0,396.928352056976,424.25,870.75,95,1498,344.9375,261.5,240.30854298866143,189.75,431.75,64.0,880.0,173.08569650208972,156.79437294222907,84.43569943223123,110.45339037570942,224.31569918515848,57.182320441990086,342.2619047619197,173.08569650208972,156.79437294222907,84.43569943223123,110.45339037570942,224.31569918515848,57.182320441990086,342.2619047619197,0.453125,0.4375,0.43271189414358985,0.0,0.875,0.0,1.0
2025-11,month,11,48.53636363636348,61.500000000001,28.597212197249366,21.800000000000708,71.59999999999833,11.900000000000244,84.40000000000003,25.545454545454355,22.799999999998377,10.27836209095247,18.700000000000383,29.50000000000008,14.499999999999512,48.79999999999996,678.9090909090909,548.0,563.3195282511434,185.5,922.5,47,1762,425.09090909090907,407.0,148.38359380029488,345.0,546.0,157.0,652.0,205.3470128240974,150.92024539877903,138.30657214824882,91.03448275862291,292.6348891095696,63.54515050167164,451.3368983957128,205.3470128240974,150.92024539877903,138.30657214824882,91.03448275862291,292.6348891095696,63.54515050167164,451.3368983957128,0.5568181818181818,1.0,0.5104031383488581,0.0,1.0,0.0,1.0
2025-12,month,13,51.430769230769,44.200000000000905,25.539132868840966,30.39999999999932,62.89999999999907,12.299999999998423,92.30000000000072,24.123076923076965,23.300000000001653,11.05125587479866,16.799999999999038,32.00000000000092,9.399999999999409,42.200000000001125,714.9230769230769,624.0,578.7058063095707,413.0,768.0,74,2031,244.46153846153845,170.0,206.07183835765275,100.0,314.0,91.0,818.0,257.9528153241868,192.49999999999272,226.72985064138422,141.07142857143563,246.4705882352972,76.5743073047836,951.0638297872885,257.9528153241868,192.49999999999272,226.72985064138422,141.07142857143563,246.4705882352972,76.5743073047836,951.0638297872885,0.9519230769230769,1.0,0.17334381132038407,1.0,1.0,0.375,1.0
2026-01,month,11,96.01818181818166,80.4999999999989,61.36013067427119,54.100000000000264,118.5499999999995,32.2,232.00000000000108,47.49090909090894,39.00000000000014,31.95670366434691,30.49999999999997,53.1500000000007,16.300000000000203,129.999999999999,767.5454545454545,724.0,344.7869961690445,540.5,834.5,357,1412,417.6363636363636,360.0,273.4692936061644,221.0,563.0,104.0,998.0,265.88598563550414,178.88888888888656,237.4074082614364,123.3994832088049,301.5299823633129,77.46153846153923,836.8098159509021,265.88598563550414,178.88888888888656,237.4074082614364,123.3994832088049,301.5299823633129,77.46153846153923,836.8098159509021,0.7840909090909091,1.0,0.3795182352787424,0.6875,1.0,0.0,1.0
2026-02,month,13,44.62307692307668,42.29999999999956,17.80529667665173,36.30000000000023,55.29999999999813,9.899999999998244,79.49999999999902,30.56923076923069,22.599999999999287,15.966338790059739,19.29999999999988,40.00000000000004,10.099999999999554,57.89999999999962,599.6923076923077,529.0,370.1144833281059,375.0,855.0,49,1394,406.6923076923077,264.0,378.8094033977564,96.0,751.0,31.0,1079.0,181.0961124836895,156.91056910569125,110.66578449712286,95.50949913643952,212.3222748815128,43.805309734506885,412.8712871287318,181.0961124836895,156.91056910569125,110.66578449712286,95.50949913643952,212.3222748815128,43.805309734506885,412.8712871287318,0.8846153846153846,0.875,0.10778956231282204,0.75,1.0,0.75,1.0
2026-03,month,18,69.07222222222214,63.550000000001106,23.247613553818994,53.44999999999878,84.17500000000022,20.300000000001983,113.60000000000036,40.45555555555573,40.70000000000018,13.88245707283427,30.699999999999616,46.92500000000099,18.299999999999983,62.99999999999972,549.3888888888889,434.5,293.62363642813403,384.5,633.5,133,1292,307.5,261.0,205.85524611469384,167.75,380.0,38.0,807.0,188.29434753231453,151.22619318613033,96.95762807058365,122.03203517587619,227.89103002049998,83.19672131148361,483.9999999999951,188.29434753231453,151.22619318613033,96.95762807058365,122.03203517587619,227.89103002049998,83.19672131148361,483.9999999999951,0.8888888888888888,1.0,0.17619804662364147,0.875,1.0,0.375,1.0
2026-04,month,18,42.37777777777784,36.84999999999938,19.689040115089313,29.12500000000151,49.27500000000029,16.499999999999293,96.49999999999936,35.683333333333465,28.75000000000072,20.882338442414074,20.20000000000078,49.875000000000895,8.999999999999009,80.0999999999985,511.6666666666667,527.5,292.24083541208427,278.5,683.0,36,1125,534.8333333333334,387.0,445.2209299556662,196.0,861.5,13.0,1497.0,161.73686253773064,127.42997500646334,128.64636903552292,64.56373491869243,174.77099460473752,54.83870967741866,550.0000000000616,161.73686253773064,127.42997500646334,128.64636903552292,64.56373491869243,174.77099460473752,54.83870967741866,550.0000000000616,0.875,1.0,0.3236964809272814,1.0,1.0,0.0,1.0
2026-05,month,12,50.53333333333355,43.100000000000364,24.19328732345299,32.90000000000015,63.20000000000048,23.100000000000342,105.69999999999968,44.19166666666678,29.50000000000008,29.68040242110574,21.82499999999976,60.74999999999997,16.300000000000203,108.69999999999936,535.8333333333334,520.0,414.49702999996015,178.5,758.0,40,1434,765.9166666666666,378.5,780.4360620638291,308.5,855.0,65.0,2400.0,150.53264976416602,116.39550575903198,109.279743293459,102.72736736669235,176.40523959541923,34.22263109475591,465.6387665198236,150.53264976416602,116.39550575903198,109.279743293459,102.72736736669235,176.40523959541923,34.22263109475591,465.6387665198236,0.6354166666666666,0.625,0.3262142236276182,0.4375,1.0,0.125,1.0
2026-06,month,14,53.585714285714026,46.649999999999196,36.27777147643854,28.200000000001,67.5249999999994,12.499999999999734,136.099999999999,32.664285714285434,31.49999999999986,16.87303753342598,20.7999999999986,45.625000000000256,11.499999999999844,62.80000000000064,781.6428571428571,718.0,584.2961060630471,341.75,920.5,59,2011,430.57142857142856,294.0,348.13121184309324,194.0,591.0,106.0,1343.0,181.7501939688616,153.25091575091642,134.9853486172748,95.02136752136755,195.61758893280103,62.42038216560678,561.2745098039692,181.7501939688616,153.25091575091642,134.9853486172748,95.02136752136755,195.61758893280103,62.42038216560678,561.2745098039692,0.33035714285714285,0.25,0.28842719575786757,0.25,0.34375,0.0,1.0
