direction,scope,count,swing_pips_mean,swing_pips_median,swing_pips_std,swing_pips_p25,swing_pips_p75,swing_pips_min,swing_pips_max,prior_swing_pips_mean,prior_swing_pips_median,prior_swing_pips_std,prior_swing_pips_p25,prior_swing_pips_p75,prior_swing_pips_min,prior_swing_pips_max,bars_mean,bars_median,bars_std,bars_p25,bars_p75,bars_min,bars_max,prior_bars_mean,prior_bars_median,prior_bars_std,prior_bars_p25,prior_bars_p75,prior_bars_min,prior_bars_max,reversal_pct_mean,reversal_pct_median,reversal_pct_std,reversal_pct_p25,reversal_pct_p75,reversal_pct_min,reversal_pct_max,current_end_retracement_pct_mean,current_end_retracement_pct_median,current_end_retracement_pct_std,current_end_retracement_pct_p25,current_end_retracement_pct_p75,current_end_retracement_pct_min,current_end_retracement_pct_max,confidence_mean,confidence_median,confidence_std,confidence_p25,confidence_p75,confidence_min,confidence_max
DOWN,direction,87,46.58620689655162,42.29999999999956,26.541447062834624,25.900000000000922,59.19999999999926,8.099999999999774,136.099999999999,31.544827586206925,26.80000000000016,18.492976407907353,17.949999999999914,42.800000000000615,6.399999999999739,103.6999999999999,555.448275862069,461.0,385.105807225262,320.0,753.0,22,2011,405.85057471264366,327.0,317.3737261709282,175.5,545.5,13.0,1497.0,174.40434893114764,138.44731977819066,110.6177523831822,104.02884615384471,210.70366013976945,43.805309734506885,561.2745098039692,174.40434893114764,138.44731977819066,110.6177523831822,104.02884615384471,210.70366013976945,43.805309734506885,561.2745098039692,0.6781609195402298,0.875,0.393733703939286,0.25,1.0,0.0,1.0
UP,direction,75,60.69333333333325,57.89999999999962,36.23560043298208,34.899999999999935,78.89999999999952,11.900000000000244,232.00000000000108,35.07333333333321,30.200000000000227,22.084850704286623,18.500000000001293,43.79999999999939,9.399999999999409,129.999999999999,680.2,596.0,450.43141482301104,370.5,855.0,40,2031,418.32,322.0,406.84754299767286,182.5,498.0,36.0,2400.0,216.84400463454432,174.84662576687015,171.53356681994111,114.8597756410253,249.71312662996542,34.22263109475591,951.0638297872885,216.84400463454432,174.84662576687015,171.53356681994111,114.8597756410253,249.71312662996542,34.22263109475591,951.0638297872885,0.6916666666666667,1.0,0.4085929492761692,0.25,1.0,0.0,1.0
