swing_pips_bin,count,pct_of_162
<10,2,1.2345679012345678
10-20,15,9.25925925925926
20-30,24,14.814814814814813
30-40,26,16.049382716049383
40-50,23,14.19753086419753
50-75,37,22.839506172839506
75-100,22,13.580246913580247
100-150,11,6.790123456790123
150-200,1,0.6172839506172839
200-300,1,0.6172839506172839
>=300,0,0.0
