swing_id,direction,swing_pips,bars,breakout_A_count,break_retest_B_count,fib_rejection_C_count,m1_structure_break_D_count,momentum_E_count,first_breakout_A_bar,first_break_retest_B_bar,first_fib_rejection_C_bar,first_m1_structure_break_D_bar,first_momentum_E_bar,any_formal_event,distinct_models_present
377,DOWN,96.7999999999991,431,70,50,14,107,36,21,23,89,5,24,True,5
379,DOWN,79.29999999999993,415,53,51,20,93,34,29,31,111,9,46,True,5
389,DOWN,105.5000000000006,560,57,47,46,116,38,48,57,69,5,27,True,5
391,DOWN,48.2999999999989,383,36,34,4,76,28,25,28,285,25,25,True,5
395,DOWN,56.0000000000005,364,43,36,23,78,30,20,21,74,3,20,True,5
397,DOWN,87.50000000000036,834,70,52,17,152,63,156,158,536,22,22,True,5
401,DOWN,50.49999999999999,393,21,17,12,72,23,65,73,121,4,18,True,5
403,DOWN,49.99999999999893,134,13,6,1,26,7,53,61,132,6,62,True,5
407,DOWN,62.60000000000154,971,81,78,36,166,58,21,26,239,3,17,True,5
409,DOWN,52.59999999999821,937,68,50,63,161,63,45,46,127,5,13,True,5
413,DOWN,59.8999999999994,432,43,24,12,83,28,22,26,105,5,17,True,5
415,DOWN,78.09999999999873,649,61,43,36,126,49,21,29,192,3,21,True,5
417,DOWN,20.300000000001983,202,14,8,0,29,12,25,29,-1,8,23,True,4
423,DOWN,96.49999999999936,604,47,45,19,108,39,20,24,13,4,21,True,5
429,DOWN,35.09999999999902,537,27,34,12,76,24,20,28,96,3,20,True,5
431,DOWN,24.999999999999467,105,11,4,6,19,7,28,30,21,17,32,True,5
433,DOWN,47.39999999999967,691,44,40,0,112,44,20,22,-1,3,18,True,4
437,DOWN,46.10000000000003,863,58,58,0,157,51,24,30,-1,4,23,True,4
441,DOWN,17.000000000000348,37,5,2,0,9,3,26,31,-1,9,23,True,4
445,DOWN,27.400000000001867,268,15,14,3,42,17,31,35,187,3,25,True,5
447,DOWN,57.000000000000384,652,59,59,18,125,48,25,29,315,3,27,True,5
451,DOWN,36.79999999999906,819,49,65,0,140,54,34,45,-1,4,14,True,4
453,DOWN,56.89999999999973,302,32,17,29,71,21,20,52,17,4,14,True,5
455,DOWN,70.40000000000157,1126,75,70,25,197,68,34,38,429,3,33,True,5
457,DOWN,34.600000000000186,663,39,34,15,102,33,40,43,175,12,40,True,5
461,DOWN,16.499999999999293,93,15,10,2,25,10,21,50,91,6,21,True,5
465,DOWN,36.89999999999971,520,37,35,0,90,37,39,40,-1,4,17,True,4
467,DOWN,49.5000000000001,720,58,58,32,132,53,41,47,50,14,15,True,5
469,DOWN,26.80000000000016,488,39,25,0,97,33,56,61,-1,4,13,True,4
471,DOWN,48.60000000000086,468,32,39,30,81,23,43,47,110,9,55,True,5
473,DOWN,34.30000000000044,272,30,32,6,51,20,23,25,146,18,19,True,5
480,UP,37.199999999999456,644,46,38,0,109,42,23,27,-1,4,21,True,4
482,UP,105.69999999999968,816,73,50,26,144,54,30,33,105,12,42,True,5
486,UP,33.499999999999645,175,12,5,23,41,11,21,95,16,6,14,True,5
488,UP,65.60000000000122,1435,107,93,25,243,83,73,79,825,4,17,True,5
502,UP,49.00000000000127,714,50,49,8,126,44,37,39,650,3,37,True,5
504,UP,32.90000000000015,181,15,15,6,28,16,40,41,41,3,19,True,5
506,UP,62.40000000000023,67,3,0,0,13,4,20,-1,-1,3,19,True,3
514,UP,60.7000000000002,398,14,13,4,71,23,48,50,103,3,14,True,5
516,UP,23.100000000000342,328,30,25,7,68,24,40,47,102,5,13,True,5
520,UP,32.90000000000015,903,68,39,13,145,44,30,46,520,4,42,True,5
522,UP,28.500000000000192,41,4,2,5,6,4,22,29,25,10,24,True,5
524,UP,74.89999999999996,740,58,39,6,140,50,34,39,618,3,31,True,5
530,UP,48.79999999999996,1344,81,78,2,193,62,60,62,1325,6,30,True,5
531,DOWN,60.99999999999994,2012,154,103,22,330,130,32,36,1054,7,32,True,5
537,DOWN,136.099999999999,745,85,53,16,158,52,20,23,194,3,28,True,5
549,DOWN,53.19999999999992,941,84,71,34,163,69,25,28,438,9,14,True,5
553,DOWN,25.300000000001432,693,52,43,5,121,47,22,27,177,4,23,True,5
557,DOWN,36.89999999999971,381,45,30,14,77,31,33,36,152,12,29,True,5
559,DOWN,20.199999999999108,296,25,18,9,55,19,20,29,60,7,20,True,5
565,DOWN,75.00000000000063,330,49,37,11,88,27,28,35,173,3,28,True,5
567,DOWN,69.6999999999992,863,88,62,25,163,61,24,31,228,3,14,True,5
569,DOWN,39.20000000000145,793,70,52,0,136,46,47,50,-1,4,47,True,4
571,DOWN,44.49999999999843,567,56,45,29,106,44,26,29,176,7,22,True,5
573,DOWN,13.299999999998311,60,10,6,0,14,7,27,30,-1,8,15,True,4
575,DOWN,114.4999999999996,1782,123,96,20,287,113,20,27,18,5,17,True,5
587,DOWN,12.499999999999734,150,14,11,0,27,13,25,31,-1,4,29,True,4
591,DOWN,74.89999999999996,1330,104,89,16,227,86,20,21,984,9,33,True,5
