swing_id,event_a,event_b,overlap_bars
81,break_retest_B,m1_structure_break_D,6
81,break_retest_B,momentum_E,4
81,fib_rejection_C,m1_structure_break_D,13
81,fib_rejection_C,momentum_E,4
81,m1_structure_break_D,momentum_E,51
83,breakout_A,fib_rejection_C,1
83,breakout_A,m1_structure_break_D,35
83,breakout_A,momentum_E,15
83,break_retest_B,breakout_A,0
83,break_retest_B,fib_rejection_C,2
83,break_retest_B,m1_structure_break_D,7
83,break_retest_B,momentum_E,2
83,fib_rejection_C,m1_structure_break_D,8
83,fib_rejection_C,momentum_E,2
83,m1_structure_break_D,momentum_E,23
87,breakout_A,fib_rejection_C,2
87,breakout_A,m1_structure_break_D,18
87,breakout_A,momentum_E,4
87,break_retest_B,breakout_A,0
87,break_retest_B,fib_rejection_C,2
87,break_retest_B,m1_structure_break_D,4
87,break_retest_B,momentum_E,0
87,fib_rejection_C,m1_structure_break_D,2
87,fib_rejection_C,momentum_E,0
87,m1_structure_break_D,momentum_E,7
89,breakout_A,fib_rejection_C,0
89,breakout_A,m1_structure_break_D,20
89,breakout_A,momentum_E,12
89,break_retest_B,breakout_A,0
89,break_retest_B,fib_rejection_C,0
89,break_retest_B,m1_structure_break_D,1
89,break_retest_B,momentum_E,1
89,fib_rejection_C,m1_structure_break_D,0
89,fib_rejection_C,momentum_E,0
89,m1_structure_break_D,momentum_E,21
93,breakout_A,fib_rejection_C,1
93,breakout_A,m1_structure_break_D,34
93,breakout_A,momentum_E,16
93,break_retest_B,breakout_A,0
93,break_retest_B,fib_rejection_C,6
93,break_retest_B,m1_structure_break_D,4
93,break_retest_B,momentum_E,4
93,fib_rejection_C,m1_structure_break_D,3
93,fib_rejection_C,momentum_E,3
93,m1_structure_break_D,momentum_E,26
97,breakout_A,fib_rejection_C,2
97,breakout_A,m1_structure_break_D,64
97,breakout_A,momentum_E,32
97,break_retest_B,breakout_A,0
97,break_retest_B,fib_rejection_C,1
97,break_retest_B,m1_structure_break_D,5
97,break_retest_B,momentum_E,4
97,fib_rejection_C,m1_structure_break_D,7
97,fib_rejection_C,momentum_E,1
97,m1_structure_break_D,momentum_E,55
105,breakout_A,fib_rejection_C,5
105,breakout_A,m1_structure_break_D,54
105,breakout_A,momentum_E,15
105,break_retest_B,breakout_A,0
105,break_retest_B,fib_rejection_C,4
105,break_retest_B,m1_structure_break_D,7
105,break_retest_B,momentum_E,2
105,fib_rejection_C,m1_structure_break_D,8
105,fib_rejection_C,momentum_E,3
105,m1_structure_break_D,momentum_E,33
114,breakout_A,fib_rejection_C,1
114,breakout_A,m1_structure_break_D,4
114,breakout_A,momentum_E,2
114,break_retest_B,breakout_A,0
114,break_retest_B,fib_rejection_C,0
114,break_retest_B,m1_structure_break_D,0
114,break_retest_B,momentum_E,0
114,fib_rejection_C,m1_structure_break_D,1
114,fib_rejection_C,momentum_E,0
114,m1_structure_break_D,momentum_E,6
116,breakout_A,fib_rejection_C,5
116,breakout_A,m1_structure_break_D,124
116,breakout_A,momentum_E,55
116,break_retest_B,breakout_A,0
116,break_retest_B,fib_rejection_C,4
116,break_retest_B,m1_structure_break_D,9
116,break_retest_B,momentum_E,6
116,fib_rejection_C,m1_structure_break_D,11
116,fib_rejection_C,momentum_E,2
116,m1_structure_break_D,momentum_E,101
118,breakout_A,fib_rejection_C,4
118,breakout_A,m1_structure_break_D,52
118,breakout_A,momentum_E,13
118,break_retest_B,breakout_A,0
118,break_retest_B,fib_rejection_C,5
118,break_retest_B,m1_structure_break_D,9
118,break_retest_B,momentum_E,5
118,fib_rejection_C,m1_structure_break_D,9
118,fib_rejection_C,momentum_E,4
118,m1_structure_break_D,momentum_E,30
128,breakout_A,fib_rejection_C,7
128,breakout_A,m1_structure_break_D,96
128,breakout_A,momentum_E,34
128,break_retest_B,breakout_A,0
128,break_retest_B,fib_rejection_C,3
128,break_retest_B,m1_structure_break_D,11
128,break_retest_B,momentum_E,6
128,fib_rejection_C,m1_structure_break_D,11
128,fib_rejection_C,momentum_E,3
128,m1_structure_break_D,momentum_E,55
151,breakout_A,fib_rejection_C,10
151,breakout_A,m1_structure_break_D,49
151,breakout_A,momentum_E,21
151,break_retest_B,breakout_A,0
151,break_retest_B,fib_rejection_C,2
151,break_retest_B,m1_structure_break_D,4
151,break_retest_B,momentum_E,4
151,fib_rejection_C,m1_structure_break_D,15
151,fib_rejection_C,momentum_E,7
151,m1_structure_break_D,momentum_E,35
153,breakout_A,fib_rejection_C,0
153,breakout_A,m1_structure_break_D,13
153,breakout_A,momentum_E,7
153,break_retest_B,breakout_A,0
153,break_retest_B,fib_rejection_C,0
153,break_retest_B,m1_structure_break_D,3
153,break_retest_B,momentum_E,0
153,fib_rejection_C,m1_structure_break_D,0
153,fib_rejection_C,momentum_E,0
153,m1_structure_break_D,momentum_E,9
159,breakout_A,fib_rejection_C,0
159,breakout_A,m1_structure_break_D,26
159,breakout_A,momentum_E,5
159,break_retest_B,breakout_A,0
159,break_retest_B,fib_rejection_C,0
159,break_retest_B,m1_structure_break_D,3
159,break_retest_B,momentum_E,2
159,fib_rejection_C,m1_structure_break_D,0
159,fib_rejection_C,momentum_E,0
159,m1_structure_break_D,momentum_E,7
160,breakout_A,fib_rejection_C,5
160,breakout_A,m1_structure_break_D,135
160,breakout_A,momentum_E,40
160,break_retest_B,breakout_A,0
160,break_retest_B,fib_rejection_C,3
160,break_retest_B,m1_structure_break_D,11
160,break_retest_B,momentum_E,7
160,fib_rejection_C,m1_structure_break_D,8
160,fib_rejection_C,momentum_E,2
160,m1_structure_break_D,momentum_E,77
162,breakout_A,fib_rejection_C,6
162,breakout_A,m1_structure_break_D,74
162,breakout_A,momentum_E,22
162,break_retest_B,breakout_A,0
162,break_retest_B,fib_rejection_C,7
162,break_retest_B,m1_structure_break_D,5
162,break_retest_B,momentum_E,4
162,fib_rejection_C,m1_structure_break_D,13
162,fib_rejection_C,momentum_E,4
162,m1_structure_break_D,momentum_E,41
164,breakout_A,fib_rejection_C,0
164,breakout_A,m1_structure_break_D,65
164,breakout_A,momentum_E,21
164,break_retest_B,breakout_A,0
