swing_id,direction,event,bar_in_swing,swing_position_pct,timestamp,open,high,low,close,range_pips,body_ratio,close_location,atr14_pips,range_vs_atr14,return_3m_pips,fib_rejection_level_C,entry_reference
14,UP,breakout_A,20,3.4965034965034967,2025-09-15 02:51:00,1.17243,1.17255,1.17243,1.17255,1.1999999999989797,1.0,1.0,1.242857142856562,0.9655172413789406,3.8000000000004697,,NEXT_BAR_OPEN
14,UP,breakout_A,29,5.06993006993007,2025-09-15 03:00:00,1.17249,1.17277,1.17241,1.17267,3.60000000000138,0.5,0.7222222222223593,1.3785714285712607,2.611398963731889,2.500000000000835,,NEXT_BAR_OPEN
14,UP,breakout_A,33,5.769230769230769,2025-09-15 03:04:00,1.17264,1.17292,1.17264,1.17285,2.80000000000058,0.75,0.75,1.5500000000000038,1.8064516129035955,2.4000000000001798,,NEXT_BAR_OPEN
14,UP,breakout_A,36,6.293706293706293,2025-09-15 03:07:00,1.1728,1.17317,1.17276,1.17317,4.100000000000215,0.9024390243901514,1.0,1.9499999999999278,2.1025641025642905,3.20000000000098,,NEXT_BAR_OPEN
14,UP,breakout_A,37,6.468531468531468,2025-09-15 03:08:00,1.17313,1.17331,1.17307,1.17331,2.4000000000001798,0.7500000000002313,1.0,2.0857142857141513,1.1506849315070096,6.200000000000649,,NEXT_BAR_OPEN
14,UP,breakout_A,39,6.818181818181818,2025-09-15 03:10:00,1.17324,1.17348,1.17322,1.17348,2.60000000000149,0.9230769230764633,1.0,2.185714285714172,1.1895424836608743,3.1000000000003247,,NEXT_BAR_OPEN
14,UP,breakout_A,44,7.6923076923076925,2025-09-15 03:15:00,1.17339,1.17368,1.17339,1.17363,2.900000000001235,0.8275862068962613,0.8275862068962613,2.17142857142884,1.3355263157898773,2.4999999999986144,,NEXT_BAR_OPEN
14,UP,breakout_A,47,8.216783216783217,2025-09-15 03:18:00,1.17358,1.17379,1.17358,1.17371,2.0999999999982144,0.6190476190479715,0.6190476190479715,2.150000000000128,0.9767441860456231,0.8000000000008001,,NEXT_BAR_OPEN
14,UP,breakout_A,61,10.664335664335665,2025-09-15 03:32:00,1.17375,1.17406,1.17375,1.17404,3.1000000000003247,0.935483870967326,0.935483870967326,1.4142857142856218,2.191919191919565,3.5999999999991594,,NEXT_BAR_OPEN
14,UP,breakout_A,62,10.839160839160838,2025-09-15 03:33:00,1.17404,1.17423,1.17404,1.17416,1.900000000001345,0.6315789473686055,0.6315789473686055,1.4785714285714402,1.2850241545902716,3.8000000000004697,,NEXT_BAR_OPEN
14,UP,breakout_A,63,11.013986013986013,2025-09-15 03:34:00,1.17414,1.17426,1.17413,1.17425,1.3000000000018552,0.8461538461530578,0.9230769230765289,1.4285714285715883,0.910000000001197,4.900000000001015,,NEXT_BAR_OPEN
14,UP,breakout_A,66,11.538461538461538,2025-09-15 03:37:00,1.17425,1.17441,1.17424,1.17432,1.7000000000000348,0.41176470588242975,0.47058823529457866,1.3571428571431834,1.252631578947093,0.700000000000145,,NEXT_BAR_OPEN
14,UP,breakout_A,104,18.181818181818183,2025-09-15 04:15:00,1.17345,1.17357,1.17341,1.17357,1.5999999999993797,0.749999999999653,1.0,1.4999999999998348,1.0666666666663707,3.2999999999994145,,NEXT_BAR_OPEN
14,UP,breakout_A,106,18.53146853146853,2025-09-15 04:17:00,1.17352,1.17383,1.17352,1.17381,3.1000000000003247,0.9354838709680423,0.9354838709680423,1.5071428571427385,2.056872037915069,3.6999999999998145,,NEXT_BAR_OPEN
14,UP,breakout_A,108,18.88111888111888,2025-09-15 04:19:00,1.17371,1.17391,1.17369,1.17391,2.20000000000109,0.9090909090903586,1.0,1.585714285714365,1.3873873873880054,4.20000000000087,,NEXT_BAR_OPEN
14,UP,breakout_A,110,19.23076923076923,2025-09-15 04:21:00,1.17369,1.17398,1.17366,1.17398,3.20000000000098,0.9062500000001085,1.0,1.6785714285714817,1.9063829787239277,2.80000000000058,,NEXT_BAR_OPEN
14,UP,breakout_A,111,19.405594405594407,2025-09-15 04:22:00,1.17398,1.17402,1.17391,1.17402,1.100000000000545,0.36363636363654717,1.0,1.6714285714287362,0.6581196581199192,1.100000000000545,,NEXT_BAR_OPEN
14,UP,breakout_A,112,19.58041958041958,2025-09-15 04:23:00,1.17402,1.17435,1.17402,1.17421,3.2999999999994145,0.5757575757574126,0.5757575757574126,1.8142857142857047,1.8188976377949624,5.1000000000001044,,NEXT_BAR_OPEN
14,UP,breakout_A,144,25.174825174825173,2025-09-15 04:55:00,1.17384,1.17396,1.17378,1.17394,1.7999999999984695,0.5555555555559667,0.8888888888893001,1.6357142857143752,1.1004366812217117,2.2999999999995246,,NEXT_BAR_OPEN
14,UP,breakout_A,157,27.447552447552447,2025-09-15 05:08:00,1.17397,1.17408,1.17393,1.17408,1.500000000000945,0.7333333333332347,1.0,1.5785714285713022,0.9502262443445662,2.6999999999999247,,NEXT_BAR_OPEN
14,UP,breakout_A,171,29.895104895104897,2025-09-15 05:22:00,1.1741,1.17428,1.17409,1.17427,1.8999999999991246,0.8947368421056937,0.9473684210522625,1.185714285714282,1.6024096385534836,2.6999999999999247,,NEXT_BAR_OPEN
14,UP,breakout_A,175,30.594405594405593,2025-09-15 05:26:00,1.17428,1.17462,1.17428,1.17461,3.4000000000000696,0.9705882352939256,0.9705882352939256,1.3714285714288326,2.4791666666662455,4.100000000000215,,NEXT_BAR_OPEN
14,UP,breakout_A,178,31.11888111888112,2025-09-15 05:29:00,1.17457,1.17469,1.17457,1.17467,1.2000000000012,0.8333333333342585,0.8333333333342585,1.4500000000006175,0.827586206897027,0.6000000000017103,,NEXT_BAR_OPEN
14,UP,breakout_A,179,31.293706293706293,2025-09-15 05:30:00,1.17467,1.17508,1.17466,1.17493,4.199999999998649,0.6190476190476443,0.6428571428573316,1.7000000000005104,2.470588235292581,3.8000000000004697,,NEXT_BAR_OPEN
14,UP,breakout_A,209,36.53846153846154,2025-09-15 06:00:00,1.17461,1.17494,1.17461,1.1749,3.300000000001635,0.8787878787878176,0.8787878787878176,1.4642857142859493,2.2536585365861206,1.500000000000945,,NEXT_BAR_OPEN
14,UP,breakout_A,210,36.71328671328671,2025-09-15 06:01:00,1.17492,1.175,1.17482,1.17497,1.80000000000069,0.2777777777782575,0.833333333333539,1.4571428571432041,1.235294117647238,3.20000000000098,,NEXT_BAR_OPEN
14,UP,breakout_A,213,37.23776223776224,2025-09-15 06:04:00,1.17504,1.17544,1.17504,1.17539,3.9999999999995595,0.8749999999997224,0.8749999999997224,1.6928571428574481,2.3628691983115497,4.199999999998649,,NEXT_BAR_OPEN
14,UP,breakout_A,230,40.20979020979021,2025-09-15 06:21:00,1.17536,1.1757,1.17536,1.17566,3.4000000000000696,0.8823529411763553,0.8823529411763553,1.435714285714651,2.3681592039795456,3.8999999999989043,,NEXT_BAR_OPEN
14,UP,breakout_A,232,40.55944055944056,2025-09-15 06:23:00,1.17557,1.17576,1.17556,1.17575,1.9999999999997797,0.9000000000004441,0.9500000000007771,1.5785714285716195,1.2669683257915625,3.900000000001125,,NEXT_BAR_OPEN
14,UP,breakout_A,233,40.73426573426573,2025-09-15 06:24:00,1.17574,1.17596,1.17574,1.1759,2.1999999999988695,0.727272727272819,0.727272727272819,1.6928571428572894,1.2995780590709496,2.4000000000001798,,NEXT_BAR_OPEN
14,UP,breakout_A,235,41.08391608391609,2025-09-15 06:26:00,1.17585,1.17613,1.17585,1.17607,2.7999999999983594,0.7857142857143423,0.7857142857143423,1.7785714285715022,1.5742971887540325,3.1999999999987594,,NEXT_BAR_OPEN
14,UP,breakout_A,237,41.43356643356643,2025-09-15 06:28:00,1.1761,1.17626,1.17608,1.17623,1.80000000000069,0.722222222222976,0.833333333333539,1.7571428571427905,1.0243902439028705,3.8000000000004697,,NEXT_BAR_OPEN
14,UP,breakout_A,283,49.47552447552447,2025-09-15 07:14:00,1.17553,1.17569,1.17553,1.17569,1.5999999999993797,1.0,1.0,1.1785714285712194,1.357575757575472,2.6999999999999247,,NEXT_BAR_OPEN
14,UP,breakout_A,289,50.52447552447553,2025-09-15 07:20:00,1.17568,1.17581,1.17564,1.1758,1.7000000000000348,0.7058823529405618,0.9411764705878511,1.2499999999996243,1.3600000000004366,1.2999999999996348,,NEXT_BAR_OPEN
14,UP,breakout_A,293,51.22377622377623,2025-09-15 07:24:00,1.1757,1.17584,1.17567,1.17582,1.7000000000000348,0.705882352941868,0.8823529411770085,1.3499999999993277,1.2592592592599121,1.2000000000012,,NEXT_BAR_OPEN
14,UP,breakout_A,294,51.3986013986014,2025-09-15 07:25:00,1.17582,1.17589,1.17576,1.17586,1.3000000000018552,0.3076923076904683,0.7692307692295868,1.3357142857138373,0.9732620320872771,2.5999999999992696,,NEXT_BAR_OPEN
14,UP,breakout_A,300,52.44755244755245,2025-09-15 07:31:00,1.17591,1.17611,1.17586,1.17608,2.500000000000835,0.6799999999997869,0.8800000000001421,1.2499999999997828,2.000000000001015,2.5999999999992696,,NEXT_BAR_OPEN
14,UP,breakout_A,326,56.99300699300699,2025-09-15 07:57:00,1.17612,1.17619,1.17609,1.17618,0.9999999999998899,0.5999999999995559,0.8999999999993339,1.2928571428567308,0.7734806629835868,1.7000000000000348,,NEXT_BAR_OPEN
14,UP,breakout_A,327,57.16783216783217,2025-09-15 07:58:00,1.17619,1.1763,1.17611,1.17627,1.8999999999991246,0.4210526315783938,0.8421052631579562,1.3642857142852942,1.39267015706785,1.5999999999993797,,NEXT_BAR_OPEN
14,UP,breakout_A,329,57.51748251748252,2025-09-15 08:00:00,1.1761,1.17642,1.1761,1.17637,3.20000000000098,0.8437499999997181,0.8437499999997181,1.4999999999995175,2.1333333333346727,1.8999999999991246,,NEXT_BAR_OPEN
14,UP,breakout_A,330,57.69230769230769,2025-09-15 08:01:00,1.17637,1.17665,1.17629,1.17659,3.5999999999991594,0.6111111111115566,0.8333333333334362,1.685714285713751,2.1355932203391617,3.20000000000098,,NEXT_BAR_OPEN
14,UP,breakout_A,345,60.31468531468531,2025-09-15 08:16:00,1.17659,1.17691,1.17657,1.1769,3.4000000000000696,0.9117647058824297,0.9705882352945786,1.7142857142860013,1.9833333333330418,2.6999999999999247,,NEXT_BAR_OPEN
14,UP,breakout_A,346,60.48951048951049,2025-09-15 08:17:00,1.1769,1.17699,1.17687,1.17693,1.1999999999989797,0.25,0.5,1.6785714285716402,0.7148936170205786,3.20000000000098,,NEXT_BAR_OPEN
14,UP,breakout_A,390,68.18181818181819,2025-09-15 09:01:00,1.17698,1.17731,1.17698,1.17718,3.300000000001635,0.606060606060239,0.606060606060239,1.6214285714288845,2.035242290749514,2.6999999999999247,,NEXT_BAR_OPEN
