backstep,configs,median_score,min_score,median_efficiency,median_swing_pips,median_bars,median_pivots
20,210,0.9388669311395199,0.8996105091333633,0.11941316956669695,36.599999999999966,397.0,732.0
40,210,0.9390740954953108,0.900238922040488,0.11941316956669695,36.599999999999966,397.0,732.0
60,210,0.9408024836340197,0.9029358098301064,0.1180904522613029,36.800000000001276,399.0,728.0
