parameter,depth,configs,median_score,min_score,median_efficiency,median_swing_pips,median_bars,median_pivots,threshold,deviation,backstep
depth,350.0,30,1.0,0.9929496340731938,0.1194131695666969,36.599999999999966,397.0,732.0,0.99,,
deviation,,63,0.9390740954953108,0.8996105091333633,0.1194131695666969,36.599999999999966,397.0,732.0,0.9296833545403578,25.0,
deviation,,63,0.9390740954953108,0.8996105091333633,0.1194131695666969,36.599999999999966,397.0,732.0,0.9296833545403578,50.0,
deviation,,63,0.9390740954953108,0.8996105091333633,0.1194131695666969,36.599999999999966,397.0,732.0,0.9296833545403578,75.0,
deviation,,63,0.9390740954953108,0.8996105091333633,0.1194131695666969,36.599999999999966,397.0,732.0,0.9296833545403578,100.0,
deviation,,63,0.9390740954953108,0.8996105091333633,0.1194131695666969,36.599999999999966,397.0,732.0,0.9296833545403578,125.0,
deviation,,63,0.9390740954953108,0.8996105091333633,0.1194131695666969,36.599999999999966,397.0,732.0,0.9296833545403578,150.0,
deviation,,63,0.9390740954953108,0.8996105091333633,0.1194131695666969,36.599999999999966,397.0,732.0,0.9296833545403578,175.0,
deviation,,63,0.9390740954953108,0.8996105091333633,0.1194131695666969,36.599999999999966,397.0,732.0,0.9296833545403578,200.0,
deviation,,63,0.9390740954953108,0.8996105091333633,0.1194131695666969,36.599999999999966,397.0,732.0,0.9296833545403578,225.0,
deviation,,63,0.9390740954953108,0.8996105091333633,0.1194131695666969,36.599999999999966,397.0,732.0,0.9296833545403578,250.0,
backstep,,210,0.93886693113952,0.8996105091333633,0.1194131695666969,36.599999999999966,397.0,732.0,0.9313944587976795,,20.0
backstep,,210,0.9390740954953108,0.900238922040488,0.1194131695666969,36.599999999999966,397.0,732.0,0.9313944587976795,,40.0
backstep,,210,0.9408024836340196,0.9029358098301064,0.1180904522613029,36.80000000000128,399.0,728.0,0.9313944587976795,,60.0
