deviation,configs,median_score,min_score,median_efficiency,median_swing_pips,median_bars,median_pivots
25,63,0.9390740954953108,0.8996105091333633,0.11941316956669695,36.599999999999966,397.0,732.0
50,63,0.9390740954953108,0.8996105091333633,0.11941316956669695,36.599999999999966,397.0,732.0
75,63,0.9390740954953108,0.8996105091333633,0.11941316956669695,36.599999999999966,397.0,732.0
100,63,0.9390740954953108,0.8996105091333633,0.11941316956669695,36.599999999999966,397.0,732.0
125,63,0.9390740954953108,0.8996105091333633,0.11941316956669695,36.599999999999966,397.0,732.0
150,63,0.9390740954953108,0.8996105091333633,0.11941316956669695,36.599999999999966,397.0,732.0
175,63,0.9390740954953108,0.8996105091333633,0.11941316956669695,36.599999999999966,397.0,732.0
200,63,0.9390740954953108,0.8996105091333633,0.11941316956669695,36.599999999999966,397.0,732.0
225,63,0.9390740954953108,0.8996105091333633,0.11941316956669695,36.599999999999966,397.0,732.0
250,63,0.9390740954953108,0.8996105091333633,0.11941316956669695,36.599999999999966,397.0,732.0
