depth,configs,median_score,min_score,median_efficiency,median_swing_pips,median_bars,median_pivots
300,30,0.900238922040488,0.8996105091333633,0.12383983028374557,32.70000000000106,347.0,860.0
305,30,0.9112815080341227,0.9098396881317772,0.12373453318334232,33.09999999999924,355.0,844.0
310,30,0.9268782799277019,0.9246431322891305,0.12257316719789882,33.69999999999873,363.0,826.0
315,30,0.9366975012949755,0.9346547202102646,0.12215909090906685,34.30000000000044,367.0,816.0
320,30,0.9412351139114984,0.9388669311395199,0.12210796915167686,34.399999999998876,370.0,808.0
325,30,0.9515481907224455,0.950402145247389,0.12172489082970377,34.600000000000186,378.0,794.0
330,30,0.9615814228266879,0.9602378639344546,0.12149949793595684,35.00000000000058,382.0,778.0
335,30,0.9748521054399681,0.9748521054399681,0.12028843002294579,35.60000000000007,387.0,766.0
340,30,0.9806637376607825,0.9806637376607825,0.12006898038370499,35.80000000000138,391.0,760.0
345,30,0.9881178394263125,0.9881178394263125,0.12006898038370499,36.19999999999956,394.0,750.0
350,30,1.0,0.9929496340731938,0.11941316956669695,36.599999999999966,397.0,732.0
355,30,0.9839844115290475,0.9788381734686208,0.11660777385157835,37.10000000000102,400.0,720.0
360,30,0.9627852222319975,0.9576471416322982,0.11512272367378897,37.70000000000051,414.0,700.0
365,30,0.9482821188849107,0.9461164244484355,0.11496746203905328,38.40000000000065,428.0,690.0
370,30,0.9390740954953108,0.9364695908907494,0.11459511879747743,38.79999999999883,432.0,678.0
375,30,0.9336270877239938,0.9318927848945547,0.11380780583797301,38.79999999999883,437.0,674.0
380,30,0.9319229693124802,0.9303857314270251,0.11380780583797301,38.89999999999949,438.0,672.0
385,30,0.9270859932624747,0.9258358036367913,0.1137957911145863,39.199999999999235,442.0,668.0
390,30,0.9163014345983307,0.9163014345983307,0.11373145682767428,39.70000000000029,451.0,656.0
395,30,0.9136565402670986,0.9136565402670986,0.11360799001248631,39.80000000000094,452.0,652.0
400,30,0.9067286593868873,0.9067286593868873,0.11340206185567873,40.50000000000109,453.0,646.0
