period,depth,deviation,backstep,pivot_count,swing_count,median_swing_pips,median_bars,median_efficiency,mean_efficiency,deviation_pips
2025-09,350,200,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,20.0
2025-09,350,200,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,20.0
2025-09,350,225,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,22.5
2025-09,350,225,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,22.5
2025-09,350,250,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,25.0
2025-09,350,250,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,25.0
2025-09,350,100,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,10.0
2025-09,350,100,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,10.0
2025-09,350,75,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,7.5
2025-09,350,75,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,7.5
2025-09,350,125,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,12.5
2025-09,350,125,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,12.5
2025-09,350,150,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,15.0
2025-09,350,150,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,15.0
2025-09,350,175,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,17.5
2025-09,350,175,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,17.5
2025-09,350,25,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,2.5
2025-09,350,25,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,2.5
2025-09,350,50,20,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,5.0
2025-09,350,50,40,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,5.0
2025-09,350,75,80,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,7.5
2025-09,350,125,80,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,12.5
2025-09,350,150,80,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,15.0
2025-09,350,175,80,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,17.5
2025-09,350,50,80,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,5.0
2025-09,350,100,80,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,10.0
2025-09,350,200,80,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,20.0
2025-09,350,225,80,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,22.5
2025-09,350,250,80,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,25.0
2025-09,350,25,80,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,2.5
2025-09,350,100,60,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,10.0
2025-09,350,75,60,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,7.5
2025-09,350,50,60,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,5.0
2025-09,350,175,60,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,17.5
2025-09,350,200,60,44,43,42.50000000000087,399.0,0.12761506276150006,0.1456817332282535,20.0
