model,gross_expectancy_R,break_even_roundtrip_cost_pips,net_expectancy_at_0pip_R,net_expectancy_at_0_5pip_R,net_expectancy_at_1pip_R,cost_efficiency_rank
E_Momentum_Continuation,0.3117283950617054,0.3561189043985472,0.3117283950617054,-0.1259462007143692,-0.5636207964904439,1
D_M1_Structure_Break,0.3117283950617016,0.34180502025014137,0.3117283950617016,-0.1442748474207685,-0.6002780899032386,2
B_Break_Retest,0.2658227848101206,0.31333344320998824,0.2658227848101206,-0.1583623613505668,-0.5825475075112543,3
A_Breakout,0.2808641975308177,0.3121165315734865,0.2808641975308177,-0.1690706330833842,-0.6190054636975862,4
C_Fibonacci_Rejection,-0.08088235294122,-0.1133520108466333,-0.08088235294122,-0.4376574658708657,-0.7944325788005112,5
