model,trades,gross_expectancy_R,break_even_roundtrip_cost_pips,break_even_method,avg_cost_R_per_1pip,net_expectancy_at_0pip_R,net_expectancy_at_0_5pip_R,net_expectancy_at_1pip_R,max_positive_grid_cost_pips,first_negative_grid_cost_pips,cost_efficiency_rank
E_Momentum_Continuation,162,0.3117283950617054,0.3561189043985472,linear_interpolation,0.8753491915521493,0.3117283950617054,-0.1259462007143692,-0.5636207964904439,0.0,0.5,1
D_M1_Structure_Break,162,0.3117283950617016,0.34180502025014137,linear_interpolation,0.9120064849649402,0.3117283950617016,-0.1442748474207685,-0.6002780899032386,0.0,0.5,2
B_Break_Retest,158,0.2658227848101206,0.31333344320998824,linear_interpolation,0.848370292321375,0.2658227848101206,-0.1583623613505668,-0.5825475075112543,0.0,0.5,3
A_Breakout,162,0.2808641975308177,0.3121165315734865,linear_interpolation,0.899869661228404,0.2808641975308177,-0.1690706330833842,-0.6190054636975862,0.0,0.5,4
C_Fibonacci_Rejection,136,-0.08088235294122,-0.1133520108466333,analytical_cost_model,0.7135502258592911,-0.08088235294122,-0.4376574658708657,-0.7944325788005112,,0.0,5
