reversal_fib_zone,count,pct
<0,0,0.0
0-23.6,0,0.0
23.6-38.2,2,0.0064516129032258064
38.2-50,3,0.00967741935483871
50-61.8,11,0.035483870967741936
61.8-78.6,16,0.05161290322580645
78.6-100,27,0.08709677419354839
100-127.2,49,0.15806451612903225
127.2-161.8,53,0.17096774193548386
161.8-200,46,0.14838709677419354
200-261.8,43,0.13870967741935483
261.8-361.8,29,0.0935483870967742
361.8-423.6,12,0.03870967741935484
>=423.6,19,0.06129032258064516
