group,count,median_reversal_pct,mean_reversal_pct,p25_reversal_pct,p75_reversal_pct,p90_reversal_pct,min_reversal_pct,max_reversal_pct,pct_ge_61_8,pct_ge_78_6,pct_ge_100,pct_ge_127_2,pct_ge_161_8,pct_ge_200,pct_ge_261_8
ALL,310,157.89544962080004,197.908171220522,115.31285109324344,232.68650446143235,359.06625258800193,33.2786885245898,951.0638297872885,0.9483870967741935,0.896774193548387,0.8096774193548387,0.6516129032258065,0.4806451612903226,0.33225806451612905,0.1935483870967742
UP,139,174.03846153847118,216.5124866816418,115.11305894309085,252.57112697295725,405.0774584108006,33.2786885245898,951.0638297872885,0.9568345323741008,0.9136690647482014,0.8057553956834532,0.6474820143884892,0.5251798561151079,0.381294964028777,0.2302158273381295
DOWN,171,156.00000000000293,182.78536508545977,116.1735342673553,211.83124053354277,319.33333333332604,43.805309734506885,813.1506849315203,0.9415204678362573,0.8830409356725146,0.8128654970760234,0.6549707602339181,0.4444444444444444,0.29239766081871343,0.16374269005847952
