depth,deviation,backstep,pivot_count,median_swing_pips,median_bars,median_efficiency,mean_efficiency,score,deviation_pips
350.0,200.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,20.0
350.0,200.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,20.0
350.0,225.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,22.5
350.0,225.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,22.5
350.0,250.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,25.0
350.0,250.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,25.0
350.0,100.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,10.0
350.0,100.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,10.0
350.0,75.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,7.5
350.0,75.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,7.5
350.0,125.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,12.5
350.0,125.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,12.5
350.0,150.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,15.0
350.0,150.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,15.0
350.0,175.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,17.5
350.0,175.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,17.5
350.0,25.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,2.5
350.0,25.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,2.5
350.0,50.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,5.0
350.0,50.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,5.0
350.0,100.0,60.0,728.0,36.800000000001276,399.0,0.1180904522613029,0.1442694087158415,54.74683347364866,10.0
350.0,75.0,60.0,728.0,36.800000000001276,399.0,0.1180904522613029,0.1442694087158415,54.74683347364866,7.5
350.0,25.0,60.0,728.0,36.800000000001276,399.0,0.1180904522613029,0.1442694087158415,54.74683347364866,2.5
350.0,50.0,60.0,728.0,36.800000000001276,399.0,0.1180904522613029,0.1442694087158415,54.74683347364866,5.0
350.0,175.0,60.0,728.0,36.800000000001276,399.0,0.1180904522613029,0.1442694087158415,54.74683347364866,17.5
350.0,200.0,60.0,728.0,36.800000000001276,399.0,0.1180904522613029,0.1442694087158415,54.74683347364866,20.0
350.0,225.0,60.0,728.0,36.800000000001276,399.0,0.1180904522613029,0.1442694087158415,54.74683347364866,22.5
350.0,250.0,60.0,728.0,36.800000000001276,399.0,0.1180904522613029,0.1442694087158415,54.74683347364866,25.0
350.0,125.0,60.0,728.0,36.800000000001276,399.0,0.1180904522613029,0.1442694087158415,54.74683347364866,12.5
350.0,150.0,60.0,728.0,36.800000000001276,399.0,0.1180904522613029,0.1442694087158415,54.74683347364866,15.0
350.0,225.0,100.0,724.0,36.89999999999971,399.0,0.11734519329456243,0.14290487790572623,54.74245398963109,22.5
350.0,200.0,100.0,724.0,36.89999999999971,399.0,0.11734519329456243,0.14290487790572623,54.74245398963109,20.0
350.0,150.0,100.0,724.0,36.89999999999971,399.0,0.11734519329456243,0.14290487790572623,54.74245398963109,15.0
350.0,100.0,100.0,724.0,36.89999999999971,399.0,0.11734519329456243,0.14290487790572623,54.74245398963109,10.0
350.0,75.0,100.0,724.0,36.89999999999971,399.0,0.11734519329456243,0.14290487790572623,54.74245398963109,7.5
350.0,25.0,100.0,724.0,36.89999999999971,399.0,0.11734519329456243,0.14290487790572623,54.74245398963109,2.5
350.0,50.0,100.0,724.0,36.89999999999971,399.0,0.11734519329456243,0.14290487790572623,54.74245398963109,5.0
350.0,250.0,100.0,724.0,36.89999999999971,399.0,0.11734519329456243,0.14290487790572623,54.74245398963109,25.0
350.0,175.0,100.0,724.0,36.89999999999971,399.0,0.11734519329456243,0.14290487790572623,54.74245398963109,17.5
350.0,125.0,100.0,724.0,36.89999999999971,399.0,0.11734519329456243,0.14290487790572623,54.74245398963109,12.5
350.0,75.0,80.0,726.0,36.89999999999971,399.0,0.11735861392612372,0.14397133289134884,54.73209349683318,7.5
350.0,250.0,80.0,726.0,36.89999999999971,399.0,0.11735861392612372,0.14397133289134884,54.73209349683318,25.0
