depth,deviation,backstep,pivot_count,median_swing_pips,median_bars,median_efficiency,mean_efficiency,score,deviation_pips
350.0,25.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,2.5
350.0,25.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,2.5
350.0,100.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,10.0
350.0,100.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,10.0
350.0,75.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,7.5
350.0,75.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,7.5
350.0,50.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,5.0
350.0,50.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,5.0
350.0,150.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,15.0
350.0,150.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,15.0
350.0,250.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,25.0
350.0,250.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,25.0
350.0,225.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,22.5
350.0,225.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,22.5
350.0,175.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,17.5
350.0,175.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,17.5
350.0,200.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,20.0
350.0,200.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,20.0
350.0,125.0,20.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,12.5
350.0,125.0,40.0,732.0,36.599999999999966,397.0,0.11941316956669695,0.14577200883224417,54.783333801360065,12.5
