depth,deviation,backstep,score,neighborhood_n,neighborhood_mean,neighborhood_median,neighborhood_min,neighborhood_max,stability,deviation_pips
350,50,80,54.73209349683318,27,54.659588731877825,54.7069690762648,54.50997007618814,54.74683347364866,0.9986752787930623,5.0
350,200,80,54.73209349683318,27,54.659588731877825,54.7069690762648,54.50997007618814,54.74683347364866,0.9986752787930623,20.0
350,225,80,54.73209349683318,27,54.659588731877825,54.7069690762648,54.50997007618814,54.74683347364866,0.9986752787930623,22.5
350,75,80,54.73209349683318,27,54.659588731877825,54.7069690762648,54.50997007618814,54.74683347364866,0.9986752787930623,7.5
350,150,80,54.73209349683318,27,54.659588731877825,54.7069690762648,54.50997007618814,54.74683347364866,0.9986752787930623,15.0
350,125,80,54.73209349683318,27,54.659588731877825,54.7069690762648,54.50997007618814,54.74683347364866,0.9986752787930623,12.5
350,175,80,54.73209349683318,27,54.659588731877825,54.7069690762648,54.50997007618814,54.74683347364866,0.9986752787930623,17.5
350,100,80,54.73209349683318,27,54.659588731877825,54.7069690762648,54.50997007618814,54.74683347364866,0.9986752787930623,10.0
350,25,80,54.73209349683318,18,54.65958873187781,54.7069690762648,54.50997007618814,54.74683347364866,0.998675278793062,2.5
350,250,80,54.73209349683318,18,54.65958873187781,54.7069690762648,54.50997007618814,54.74683347364866,0.998675278793062,25.0
350,125,60,54.74683347364866,27,54.6666700815554,54.7069690762648,54.525309242871465,54.783333801360065,0.9985357437680512,12.5
350,100,60,54.74683347364866,27,54.6666700815554,54.7069690762648,54.525309242871465,54.783333801360065,0.9985357437680512,10.0
350,50,60,54.74683347364866,27,54.6666700815554,54.7069690762648,54.525309242871465,54.783333801360065,0.9985357437680512,5.0
350,175,60,54.74683347364866,27,54.6666700815554,54.7069690762648,54.525309242871465,54.783333801360065,0.9985357437680512,17.5
350,225,60,54.74683347364866,27,54.6666700815554,54.7069690762648,54.525309242871465,54.783333801360065,0.9985357437680512,22.5
350,150,60,54.74683347364866,27,54.6666700815554,54.7069690762648,54.525309242871465,54.783333801360065,0.9985357437680512,15.0
350,200,60,54.74683347364866,27,54.6666700815554,54.7069690762648,54.525309242871465,54.783333801360065,0.9985357437680512,20.0
350,75,60,54.74683347364866,27,54.6666700815554,54.7069690762648,54.525309242871465,54.783333801360065,0.9985357437680512,7.5
350,250,60,54.74683347364866,18,54.666670081555395,54.7069690762648,54.525309242871465,54.783333801360065,0.9985357437680511,25.0
350,25,60,54.74683347364866,18,54.666670081555395,54.7069690762648,54.525309242871465,54.783333801360065,0.9985357437680511,2.5
