depth,deviation,backstep,periods,median_of_median_swing_pips,median_of_median_bars,median_efficiency,mean_efficiency,mean_pivots,min_pivots,efficiency_std,efficiency_min,efficiency_max,efficiency_stability
350,25,20,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
350,25,40,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
350,50,20,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
350,50,40,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
350,75,20,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
350,75,40,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
350,100,20,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
350,100,40,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
350,125,20,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
350,125,40,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
350,150,20,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
350,150,40,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
350,175,20,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
350,175,40,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
350,200,20,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
350,200,40,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
350,225,20,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
350,225,40,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
350,250,20,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
350,250,40,5,37.00000000000036,399.0,0.11935774757404748,0.1455944893306608,147.0,44,0.005110078789833163,0.11436174738348341,0.12761506276150006,0.8961461516279956
