swing_id,direction,trend,economic_regime,bars,swing_pips,median_range_pips,median_body_pips,mean_body_ratio,bullish_candle_pct,strong_directional_candle_pct,break_above_20m_pct,break_below_20m_pct,median_atr14_pips,max_prior_fibo_retracement_pct,endpoint_fibo_zone
14,UP,UP,UP,573,58.400000000000674,1.500000000000945,0.700000000000145,0.5091519499203196,0.5165794066317626,0.2006980802792321,0.11343804537521815,0.04363001745200698,1.6499999999998658,302.590673575135,261.8-361.8
16,UP,UP,UP,989,121.09999999999845,1.500000000000945,0.700000000000145,0.5023857922667713,0.5025278058645096,0.2123356926188069,0.09302325581395349,0.03943377148634985,1.7785714285715022,704.0697674418743,>=423.6
24,UP,UP,UP,1491,93.700000000001,1.100000000000545,0.5000000000010552,0.5385000378847971,0.49295774647887325,0.20590207914151576,0.07578806170355466,0.03420523138832998,1.2857142857144612,141.3273001508329,127.2-161.8
34,UP,UP,UP,51,19.29999999999988,1.500000000000945,0.700000000000145,0.47130951975244356,0.5686274509803921,0.23529411764705882,0.0784313725490196,0.0,1.5857142857145234,126.1437908496881,100-127.2
36,UP,UP,UP,1077,71.699999999999,0.9999999999998899,0.4999999999988347,0.535480875174108,0.49396471680594245,0.22098421541318478,0.06592386258124419,0.04178272980501393,1.1500000000003967,273.66412213739375,261.8-361.8
38,UP,UP,UP,321,46.90000000000083,1.4999999999987246,0.700000000000145,0.5186111398561096,0.514018691588785,0.205607476635514,0.08099688473520249,0.040498442367601244,1.5285714285711332,182.49027237354684,161.8-200
42,UP,UP,UP,237,44.99999999999949,1.9999999999997797,0.8999999999992347,0.5124681509528273,0.5274261603375527,0.2320675105485232,0.11814345991561181,0.04219409282700422,2.185714285714648,99.77827050997638,78.6-100
46,UP,UP,UP,1156,42.899999999999054,0.9999999999998899,0.40000000000040004,0.533002821786027,0.47664359861591693,0.2050173010380623,0.06487889273356401,0.04757785467128028,1.2071428571431524,67.98732171156703,61.8-78.6
50,UP,UP,UP,525,44.500000000000654,1.40000000000029,0.6000000000017103,0.5023640791645478,0.4876190476190476,0.19047619047619047,0.0761904761904762,0.0380952380952381,1.5428571428567825,304.79452054794615,261.8-361.8
60,UP,UP,UP,751,49.70000000000141,0.8000000000008001,0.40000000000040004,0.5404042981694706,0.45006657789613846,0.20505992010652463,0.07323568575233022,0.03861517976031957,0.8999999999998691,107.11206896552079,100-127.2
64,UP,UP,UP,96,28.599999999998627,1.9000000000002348,0.8000000000008001,0.48719810265735175,0.5833333333333334,0.1875,0.08333333333333333,0.03125,2.3535714285713834,169.23076923076417,161.8-200
68,UP,UP,UP,483,37.8999999999996,1.100000000000545,0.5000000000010552,0.5278173770058758,0.515527950310559,0.2194616977225673,0.09109730848861283,0.035196687370600416,1.2928571428572067,97.93281653747127,78.6-100
72,UP,UP,UP,1499,102.99999999999976,1.2999999999996348,0.5999999999994898,0.5158031590399041,0.4916611074049366,0.19079386257505004,0.07071380920613743,0.04136090727151434,1.5428571428567825,201.17187499999898,200-261.8
74,UP,UP,UP,764,65.10000000000016,1.100000000000545,0.5000000000010552,0.5194082283740672,0.4869109947643979,0.21335078534031413,0.09554973821989529,0.031413612565445025,1.3142857142854427,185.99999999999736,161.8-200
76,UP,UP,UP,1320,85.39999999999992,1.2000000000012,0.5999999999994898,0.5311557477972575,0.4856060606060606,0.1962121212121212,0.07878787878787878,0.038636363636363635,1.414285714285939,262.76923076923254,261.8-361.8
79,DOWN,DOWN,DOWN,763,37.0999999999988,1.2999999999996348,0.5999999999994898,0.4960444856236775,0.4456094364351245,0.17300131061598953,0.047182175622542594,0.07077326343381389,1.4571428571430456,144.357976653694,127.2-161.8
81,DOWN,DOWN,DOWN,840,57.49999999999922,1.40000000000029,0.5999999999994898,0.5108679922002521,0.4238095238095238,0.20476190476190476,0.036904761904761905,0.075,1.5642857142857323,342.2619047619197,261.8-361.8
83,DOWN,DOWN,DOWN,430,38.89999999999949,1.40000000000029,0.700000000000145,0.5123047636606667,0.44651162790697674,0.20930232558139536,0.030232558139534883,0.08604651162790698,1.5249999999998398,214.91712707183615,200-261.8
87,DOWN,DOWN,DOWN,180,20.7999999999986,1.0999999999983245,0.49999999999994493,0.5322048306725349,0.45,0.2,0.022222222222222223,0.1,1.2321428571426818,133.33333333332385,127.2-161.8
89,DOWN,DOWN,DOWN,336,20.700000000000163,0.5000000000010552,0.20000000000131024,0.4933433314282209,0.39880952380952384,0.20833333333333334,0.01488095238095238,0.06547619047619048,0.6392857142862545,57.182320441990086,50-61.8
93,DOWN,DOWN,DOWN,411,29.90000000000048,0.7999999999985796,0.40000000000040004,0.5533521976533939,0.40875912408759124,0.23114355231143552,0.038929440389294405,0.09002433090024331,0.8142857142856563,111.56716417910562,100-127.2
97,DOWN,DOWN,DOWN,967,50.09999999999959,0.7999999999985796,0.3999999999981796,0.532325093135624,0.4250258531540848,0.20992761116856257,0.033092037228541885,0.06825232678386763,0.9428571428572927,116.24129930394238,100-127.2
105,DOWN,DOWN,DOWN,525,55.30000000000035,1.40000000000029,0.700000000000145,0.5201854563112198,0.4228571428571429,0.21904761904761905,0.03619047619047619,0.10285714285714286,1.5642857142858115,252.5114155251256,200-261.8
114,UP,UP,UP,48,11.900000000000244,1.100000000000545,0.4500000000007276,0.49492047429261676,0.5,0.20833333333333334,0.125,0.0,1.1785714285716158,82.06896551724581,78.6-100
116,UP,UP,UP,1763,83.49999999999858,0.9000000000014552,0.40000000000040004,0.5359719487068032,0.45830969937606353,0.20249574588769143,0.07430516165626773,0.041406693136698806,1.0214285714289189,315.09433962263125,261.8-361.8
118,UP,UP,UP,549,61.59999999999943,1.1999999999989797,0.5999999999994898,0.5109784896508638,0.5136612021857924,0.21493624772313297,0.0947176684881603,0.029143897996357013,1.2857142857143027,270.17543859650795,261.8-361.8
128,UP,UP,UP,993,76.99999999999818,1.1999999999989797,0.5999999999994898,0.537538356866195,0.49647532729103727,0.229607250755287,0.10171198388721048,0.0513595166163142,1.4428571428572377,409.5744680851225,361.8-423.6
151,DOWN,DOWN,DOWN,496,61.500000000001,1.80000000000069,0.8000000000008001,0.4902270019247847,0.4314516129032258,0.21370967741935484,0.03024193548387097,0.09879032258064516,1.9499999999997693,211.34020618557275,200-261.8
153,DOWN,DOWN,DOWN,172,19.000000000000128,0.6000000000006,0.30000000000196536,0.5895280082281917,0.37209302325581395,0.29069767441860467,0.011627906976744186,0.09883720930232558,0.8214285714287188,63.54515050167164,61.8-78.6
159,DOWN,DOWN,DOWN,158,18.700000000000383,0.5000000000010552,0.2999999999997449,0.5571745489979768,0.3227848101265823,0.27848101265822783,0.02531645569620253,0.17088607594936708,0.6142857142857735,100.0,100-127.2
160,UP,UP,UP,1490,84.40000000000003,1.100000000000545,0.5999999999994898,0.5373791756905555,0.489261744966443,0.1966442953020134,0.09463087248322148,0.0610738255033557,1.2071428571430731,451.3368983957128,>=423.6
162,UP,UP,UP,755,66.19999999999848,0.8999999999992347,0.40000000000040004,0.5351848438592405,0.4821192052980132,0.22781456953642384,0.10198675496688742,0.04370860927152318,1.0428571428569964,135.65573770491505,127.2-161.8
164,UP,UP,UP,854,25.50000000000052,0.5999999999994898,0.2999999999997449,0.571280891362894,0.4238875878220141,0.22131147540983606,0.08196721311475409,0.04566744730679157,0.7535714285713693,69.10569105691252,61.8-78.6
168,UP,UP,UP,201,24.600000000001288,1.1999999999989797,0.4999999999988347,0.4989029317790617,0.5074626865671642,0.19900497512437812,0.0945273631840796,0.029850746268656716,1.2928571428573652,150.92024539877903,127.2-161.8
170,UP,UP,UP,597,62.89999999999907,1.2999999999996348,0.6000000000017103,0.5326462104046824,0.49748743718592964,0.23618090452261306,0.09380234505862646,0.03685092127303183,1.3642857142860874,237.35849056603053,200-261.8
176,UP,UP,UP,854,61.59999999999943,0.5999999999994898,0.2999999999997449,0.5457587427903806,0.477751756440281,0.2306791569086651,0.09836065573770492,0.03395784543325527,0.6642857142855458,192.49999999999272,161.8-200
178,UP,UP,UP,634,41.90000000000138,1.2999999999996348,0.6000000000017103,0.5137337049438444,0.5220820189274448,0.20031545741324921,0.09305993690851735,0.026813880126182965,1.3857142857145612,246.47058823529719,200-261.8
188,UP,UP,UP,102,23.699999999999832,1.4499999999995072,0.5999999999994898,0.494135092836482,0.5882352941176471,0.17647058823529413,0.08823529411764706,0.00980392156862745,1.5071428571429766,141.07142857143563,127.2-161.8
190,UP,UP,UP,2032,92.30000000000072,0.9000000000014552,0.40000000000040004,0.5410321738558141,0.4734251968503937,0.21013779527559054,0.07677165354330709,0.047244094488188976,1.0428571428569964,218.72037914691532,200-261.8
192,UP,UP,UP,653,80.59999999999957,1.40000000000029,0.700000000000145,0.5200358155524057,0.5038284839203675,0.2327718223583461,0.12404287901990811,0.05053598774885146,1.485714285714344,321.1155378486023,261.8-361.8
198,UP,UP,UP,414,42.40000000000022,1.1999999999989797,0.5000000000010552,0.5037503084960159,0.5169082125603864,0.2246376811594203,0.10869565217391304,0.03140096618357488,1.2999999999998726,181.97424892702665,161.8-200
202,UP,UP,UP,75,12.299999999998423,0.700000000000145,0.2999999999997449,0.5768650134085814,0.5333333333333333,0.29333333333333333,0.09333333333333334,0.013333333333333334,0.7714285714283913,109.8214285714353,100-127.2
204,UP,UP,UP,472,59.79999999999875,1.40000000000029,0.700000000000145,0.5361704587813649,0.5127118644067796,0.2330508474576271,0.10805084745762712,0.038135593220338986,1.4928571428570894,404.05405405406583,361.8-423.6
216,UP,UP,UP,1776,89.39999999999948,0.9999999999998899,0.4999999999988347,0.5447580538701423,0.4600225225225225,0.21677927927927929,0.08277027027027027,0.051238738738738736,1.114285714286115,951.0638297872883,>=423.6
218,UP,UP,UP,625,44.200000000000905,0.8000000000008001,0.40000000000040004,0.5402090609899242,0.488,0.2288,0.0944,0.0432,0.8999999999997106,115.10416666666706,100-127.2
222,UP,UP,UP,304,27.099999999999905,0.9999999999998899,0.40000000000040004,0.5174813988350264,0.4868421052631579,0.18421052631578946,0.039473684210526314,0.046052631578947366,1.224999999999857,157.5581395348883,127.2-161.8
230,UP,UP,UP,769,30.39999999999932,0.6000000000017103,0.2999999999997449,0.567240084121526,0.44733420026007803,0.21976592977893367,0.07932379713914174,0.04031209362808843,0.7071428571430489,76.5743073047836,61.8-78.6
234,UP,UP,UP,748,44.69999999999974,0.7999999999985796,0.40000000000040004,0.5617094427642411,0.47459893048128343,0.23663101604278075,0.0855614973262032,0.040106951871657755,0.8142857142857356,114.61538461538352,100-127.2
240,UP,UP,UP,358,69.79999999999987,1.500000000000945,0.700000000000145,0.49358757981424556,0.5251396648044693,0.21508379888268156,0.1452513966480447,0.030726256983240222,1.7285714285712541,193.88888888888593,161.8-200
242,UP,UP,UP,388,32.2,0.8000000000008001,0.40000000000040004,0.5743035153610098,0.4948453608247423,0.2345360824742268,0.13917525773195877,0.03865979381443299,0.8892857142855133,178.88888888888656,161.8-200
252,UP,UP,UP,1348,80.4999999999989,1.100000000000545,0.5000000000010552,0.5544093603026468,0.4814540059347181,0.22403560830860533,0.08234421364985163,0.05712166172106825,1.2428571428570376,189.4117647058858,161.8-200
264,UP,UP,UP,545,63.50000000000078,1.100000000000545,0.5999999999994898,0.5493090058345617,0.4954128440366973,0.22935779816513763,0.10458715596330276,0.062385321100917435,1.2142857142858978,128.02419354838673,127.2-161.8
266,UP,UP,UP,538,37.700000000000514,0.9999999999998899,0.4999999999988347,0.5378632517292352,0.49256505576208176,0.22304832713754646,0.10223048327137546,0.055762081784386616,1.078571428571516,124.83443708609347,100-127.2
268,UP,UP,UP,774,136.39999999999876,1.2999999999996348,0.5000000000010552,0.5104059612104689,0.520671834625323,0.20930232558139536,0.10981912144702842,0.037467700258397935,1.435714285714334,836.8098159509021,>=423.6
274,UP,UP,UP,1413,89.39999999999948,1.100000000000545,0.5000000000010552,0.5507980075210519,0.4989384288747346,0.23849964614295824,0.10332625619249823,0.03821656050955414,1.1642857142850944,121.96452933151633,100-127.2
276,UP,UP,UP,897,169.2999999999989,1.500000000000945,0.700000000000145,0.5097858760082906,0.5217391304347826,0.22408026755852842,0.11705685618729098,0.032329988851727984,1.6785714285716402,549.6753246753261,>=423.6
280,UP,UP,UP,725,232.00000000000108,2.100000000000435,1.0999999999983245,0.5304856958448042,0.5006896551724138,0.2413793103448276,0.12137931034482759,0.041379310344827586,2.5285714285721337,409.1710758377398,361.8-423.6
284,UP,UP,UP,720,100.70000000000024,1.5500000000001624,0.7499999999993623,0.5348430070001697,0.5152777777777777,0.23333333333333334,0.11388888888888889,0.05416666666666667,1.6071428571428388,77.46153846153923,61.8-78.6
299,DOWN,DOWN,DOWN,1132,55.29999999999813,1.40000000000029,0.6000000000017103,0.5184153638005342,0.4584805653710247,0.21201413427561838,0.053003533568904596,0.061837455830388695,1.6285714285714712,95.50949913643953,78.6-100
315,DOWN,DOWN,DOWN,561,42.29999999999956,0.9999999999998899,0.4999999999988347,0.5331825719921128,0.43137254901960786,0.23172905525846701,0.0338680926916221,0.06951871657754011,1.1571428571425078,105.7499999999988,100-127.2
319,DOWN,DOWN,DOWN,269,32.40000000000131,0.9999999999998899,0.5000000000010552,0.559035848084214,0.4423791821561338,0.2527881040892193,0.02973977695167286,0.09665427509293681,1.1142857142861942,62.91262135922601,61.8-78.6
323,DOWN,DOWN,DOWN,397,26.50000000000041,0.8999999999992347,0.40000000000040004,0.5467752165725307,0.4357682619647355,0.23425692695214106,0.03526448362720403,0.08312342569269521,0.9857142857143991,153.17919075144664,127.2-161.8
327,DOWN,DOWN,DOWN,50,9.899999999998244,0.700000000000145,0.34999999999896225,0.5283903325430126,0.38,0.22,0.02,0.16,0.796428571428555,43.805309734506885,38.2-50
329,DOWN,DOWN,DOWN,1395,41.70000000000008,0.700000000000145,0.2999999999997449,0.5481362963277284,0.4222222222222222,0.2172043010752688,0.03655913978494624,0.06810035842293907,0.871428571428412,412.8712871287318,361.8-423.6
331,DOWN,DOWN,DOWN,376,44.8000000000004,1.40000000000029,0.700000000000145,0.5151501359369502,0.4627659574468085,0.22872340425531915,0.007978723404255319,0.08776595744680851,1.5178571428570153,212.32227488151278,200-261.8
335,DOWN,DOWN,DOWN,530,66.69999999999953,1.2999999999996348,0.5999999999994898,0.5312242627041378,0.40943396226415096,0.2358490566037736,0.024528301886792454,0.09811320754716982,1.4428571428573962,331.8407960198871,261.8-361.8
