depth,deviation,backstep,pivots,swings,median_swing_pips,median_bars,trend_follow_rate,reversal_follow_rate,false_reversal_rate,continuation_rate,trend_rate,range_rate,trend_efficiency,range_efficiency,m5_alignment_rate
345,25,20,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
345,25,40,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
345,50,20,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
345,50,40,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
345,75,20,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
345,75,40,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
345,100,20,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
345,100,40,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
345,125,20,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
345,125,40,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
345,150,20,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
345,150,40,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
345,175,20,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
345,175,40,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
345,200,20,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
345,200,40,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
345,225,20,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
345,225,40,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
345,250,20,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
345,250,40,750.0,749.0,36.19999999999956,394.0,0.8195187165775402,1.0,0.1804812834224599,0.0,0.0,0.9946595460614153,,0.1282894736842139,0.9959946595460614
350,25,20,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
350,25,40,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
350,50,20,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
350,50,40,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
350,75,20,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
350,75,40,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
350,100,20,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
350,100,40,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
350,125,20,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
350,125,40,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
350,150,20,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
350,150,40,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
350,175,20,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
350,175,40,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
350,200,20,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
350,200,40,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
350,225,20,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
350,225,40,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
350,250,20,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
350,250,40,732.0,731.0,36.599999999999966,397.0,0.8205479452054795,1.0,0.17945205479452056,0.0,0.0,0.9945280437756497,,0.12747631352281255,0.9958960328317373
355,25,20,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
355,25,40,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
355,50,20,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
355,50,40,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
355,75,20,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
355,75,40,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
355,100,20,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
355,100,40,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
355,125,20,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
355,125,40,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
355,150,20,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
355,150,40,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
355,175,20,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
355,175,40,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
355,200,20,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
355,200,40,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
355,225,20,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
355,225,40,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
355,250,20,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
355,250,40,720.0,719.0,37.10000000000102,400.0,0.8231197771587744,1.0,0.17688022284122562,0.0,0.0,0.9944367176634215,,0.12679425837320524,0.9958275382475661
