swing_range,count,pct
<10,13,0.017783857729138167
10-20,112,0.15321477428180574
20-30,149,0.20383036935704515
30-40,134,0.18331053351573187
40-50,107,0.146374829001368
50-75,128,0.17510259917920656
75-100,51,0.06976744186046512
100-150,30,0.04103967168262654
150-200,5,0.006839945280437756
200-300,2,0.0027359781121751026
300-500,0,0.0
500-1000,0,0.0
>=1000,0,0.0
