swing_direction,swing_count,aligned_count,aligned_pct,median_swing_pips,median_aligned_swing_pips,median_bars,median_aligned_bars
UP,365,139,38.082191780821915,36.10000000000113,51.09999999999948,385.0,626.0
DOWN,366,172,46.994535519125684,36.89999999999971,45.549999999999756,419.5,489.5
