model,cost_scenario,roundtrip_cost_pips,trades,wins_net,losses_net,win_rate_net_pct,gross_total_R,cost_total_R,net_total_R,gross_expectancy_R,net_expectancy_R,net_median_R,net_std_R,net_profit_factor,net_max_drawdown_R,trade_sharpe,trades_per_year,avg_hold_bars,median_hold_bars,start_time,end_time,avg_cost_pips,avg_cost_R
A_Breakout,BASELINE,1.0,162,74,88,45.67901234567901,45.49999999999247,145.77888511900144,-100.27888511900898,0.2808641975308177,-0.6190054636975862,-1.2677200592102684,1.3792546272048145,0.3596267918513961,-99.04095408452675,-5.712254388781256,168.25734597156398,2.8641975308641974,2.0,2025-09-15 02:52:00,2026-09-01 18:52:00,1.0,0.899869661228404
B_Break_Retest,BASELINE,1.0,158,77,81,48.734177215189874,41.99999999999906,134.04250618677725,-92.04250618677818,0.26582278481012067,-0.5825475075112543,-0.6094369547971635,1.4030429006235612,0.3876455253322251,-90.83518911360537,-5.219019761843155,164.1034917199515,3.481012658227848,2.0,2025-09-15 02:54:00,2026-09-01 18:52:00,1.0,0.848370292321375
C_Fibonacci_Rejection,BASELINE,1.0,136,47,89,34.55882352941176,-11.000000000005924,97.04283071686359,-108.04283071686953,-0.08088235294122004,-0.7944325788005112,-1.4052785923754527,1.2839562238691473,0.2764345705440894,-109.81572830371061,-7.215663687854477,141.23578866726427,2.9926470588235294,2.0,2025-09-15 03:09:00,2026-09-01 20:11:00,1.0,0.7135502258592911
D_M1_Structure_Break,BASELINE,1.0,162,76,86,46.913580246913575,50.49999999999565,147.7450505643203,-97.24505056432466,0.3117283950617016,-0.6002780899032386,-0.1582562377341702,1.5855849685932621,0.37936196076530304,-97.99236239228114,-4.81859559390733,168.2546879196221,3.888888888888889,2.0,2025-09-15 02:46:00,2026-09-01 18:54:00,1.0,0.9120064849649402
E_Momentum_Continuation,BASELINE,1.0,162,76,86,46.913580246913575,50.49999999999628,141.8065690314482,-91.30656903145191,0.3117283950617054,-0.5636207964904439,-0.3424242424242362,1.3041441956926103,0.3735427609728925,-92.63780504934847,-5.500711956227323,168.25668145070517,3.228395061728395,2.0,2025-09-15 02:50:00,2026-09-01 18:52:00,1.0,0.8753491915521493
